,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt,injt
0,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,1,0.46182613845375536,3642291.0,0.497483,11068.486839739053,43427279999.99999,201.8781406158993
1,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,2,0.5847621004585911,4345031.0,0.705202,10057.8637989004,52702710000.0,245.19187171452998
2,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,3,0.6595879882641437,4240428.000000001,0.786167,10940.857856801247,55297200000.0,257.5007524665666
3,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,4,0.7089794443865813,4100449.9999999986,0.834601,11775.195405382341,56838799999.99999,264.90489171689023
4,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,5,0.7420355517885161,3943190.0000000014,0.863758,12591.150819514141,57793700000.00003,269.57104359726765
5,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,6,0.7645489268553538,3822019.9999999986,0.883235,13277.874003799043,58626299999.999954,273.66393141978926
6,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,7,0.7852701367780589,3686420.000000002,0.898382,14041.075080972863,59217100000.000015,276.6240726777702
7,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,8,0.8011739919658336,3589900.0,0.910763,14630.79751525112,59707499999.999985,279.106622033826
8,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,9,0.814359315976902,3504979.9999999995,0.921291,15190.4147812541,60233200000.00007,281.75023084402864
9,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,2.0,10,0.8233534062694033,3429940.000000002,0.927915,15666.07579141325,60557599999.99998,283.4471589632713
10,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,2.0,1,0.4795139708337894,6974535.0,0.544911,13095.526798560764,103791680000.0,415.54703163082326
