,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt,injt
0,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,1,0.48690304346667085,3783460.0,0.53675,10793.173444413316,45016099999.99999,209.3893479662728
1,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,2,0.5886653655551338,4378693.0,0.716563,9985.125698467555,53221110000.0,247.7261635737428
2,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,3,0.6638304440971053,4251367.0,0.795685,10910.410698488273,55597300000.00001,259.02474627748137
3,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,4,0.7135754744651431,4077070.000000001,0.839724,11892.31482412615,57057300000.0,266.0546624262755
4,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,5,0.7416911798447713,3939489.999999999,0.866025,12601.631175609029,57966100000.000015,270.5052778102022
5,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,6,0.7675242461013286,3800799.999999999,0.885096,13393.94338034098,58705899999.999985,274.1685540295615
6,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,7,0.7853252907774291,3693799.9999999995,0.900315,14012.751096431868,59339200000.00001,277.32560466187385
7,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,8,0.8054473326044693,3569470.000000003,0.913771,14771.88490168007,59819099999.99999,279.7622318506376
8,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,9,0.8190101366082354,3479820.0,0.924067,15368.524808754468,60339700000.00005,282.37956350045374
9,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,1.0,10,0.8245340739850082,3421830.0,0.929562,15716.23955602704,60628499999.999916,283.90580308707996
10,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,1,0.5311741852758811,9756199.0,0.653379,9845.056461025446,118148190000.0,474.3769977644422
11,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,2,0.6027219164326939,12157631.0,0.896222,8874.086571635542,160424700000.0,645.4603966393521
12,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,3,0.6337609402439306,12117380.0,0.95685,9536.929600293135,174476000000.0,704.1102950186973
13,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,4,0.6500380613465729,11752969.999999998,0.97983,10299.405171628958,182461699999.99994,738.7030018993312
14,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,5,0.6531245169103284,11345950.000000002,0.988668,10927.44106928023,187678200000.00006,762.3279502837431
15,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,6,0.6606159889617436,11042279.999999998,0.992463,11541.366456927373,191461400000.00003,780.35091016487
16,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,7,0.6642111658589153,10727460.000000007,0.994621,12102.240418514715,194407999999.9999,795.0860449770053
17,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,8,0.6654756757370708,10434140.0,0.995639,12590.927474616978,196555000000.00006,806.6591852808045
18,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,9,0.6687469820134224,10222600.0,0.996436,13010.349617514134,198170000000.00006,816.1503042065287
19,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,1.0,10,0.6709124851114144,9992989.999999993,0.997036,13441.722647575973,199616000000.0,825.0161100447476
20,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,1,0.44733685345385094,2054724.0000000002,0.677203,11140.386738072848,34652770000.0,184.57584989040137
21,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,2,0.5414262150849346,2328032.9999999995,0.83603,11117.978138626046,39966630000.00001,212.98954036493737
22,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,3,0.5927881446189438,2272530.0000000005,0.897798,12111.66849282517,41686239999.999985,222.2713740046626
23,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,4,0.6264892259828234,2183544.9999999995,0.930486,13173.042002798205,42721300000.000015,227.9082517179527
24,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,5,0.6480911240800703,2095238.0000000002,0.951087,14172.184735099301,43576699999.999985,232.5888423397096
25,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,6,0.6603082385396625,2019869.999999999,0.963786,14998.935575061776,44219899999.99999,236.13901461496744
26,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,7,0.6706425850448364,1946840.0,0.972524,15851.276941094278,44751100000.00001,239.09412434700494
27,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,8,0.6786967423900705,1877020.0,0.979004,16687.035833395505,45181100000.000015,241.51020615075862
28,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,9,0.6800366129096005,1841760.0000000007,0.982906,17108.906697941096,45544399999.99999,243.57134511873198
29,1894.5,214.16,218.0827,0.1673,0.0396,0.8139,0.764,44.028,172.0,0.6132,1.0,10,0.6878030518082563,1743719.9999999998,0.987042,18347.383754272454,45911600000.00002,245.65700554538415
30,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,1,0.44646698169523147,10543.26,0.591006,746170.6341302405,10413953000.0,38.39951331627782
31,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,2,0.5622325038386237,43607.76,0.734939,205818.84967262705,11732330000.000002,43.27527580290306
32,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,3,0.626402279876462,47688.77999999999,0.800366,197887.0082228986,12057820000.0,44.48934951886923
33,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,4,0.6641213798794607,46113.59999999999,0.836782,210919.7720412199,12254939999.999998,45.22939994613795
34,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,5,0.6928659399136472,42982.400000000016,0.862513,231753.2292287076,12400320000.000008,45.778278347022365
35,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,6,0.7206705826976114,39791.30000000001,0.885813,256060.99825841322,12523820000.0,46.246138344269006
36,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,7,0.7358997272603287,37981.40000000001,0.899488,271645.06837557314,12610999999.99999,46.57944595550639
37,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,8,0.7397414513873083,38356.599999999955,0.906647,269187.049947076,12654720000.000011,46.75205983032089
38,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,9,0.7663951977536374,33203.30000000001,0.922176,319117.67806212016,12749499999.999998,47.1137095675899
39,2886.0,68.522,133.9669,0.1361,0.0335,0.5388,0.7482,57.927,247.0,0.2923,1.0,10,0.7683521607528687,34108.60000000002,0.927219,310111.52612537553,12764499999.999998,47.179564985575375
40,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,1,0.44740215679228273,11710600.0,0.512143,4182.047034310795,56061049999.99999,409.8784743154652
41,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,2,0.5738892075341157,11608400.0,0.689852,4806.09903173564,67064539999.99999,490.5708020295987
42,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,3,0.6458144800557878,11160990.000000002,0.767739,5349.901756027017,70983000000.0,519.4993227769739
43,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,4,0.6952737970386785,10806039.999999996,0.815582,5795.823446887115,73467200000.00002,537.933780119531
44,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,5,0.727067670376149,10597990.000000004,0.842857,6098.524342823494,74925099999.99998,548.8420932445795
45,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,6,0.7489768014454126,10417669.999999994,0.861738,6337.722350583199,75964499999.99998,556.673120207207
46,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,7,0.7721761145457947,10176370.000000006,0.878751,6642.073745353201,76921200000.0,563.8937086305008
47,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,8,0.7919678219325152,10041939.999999996,0.892819,6861.771729367033,77680099999.99998,569.6502619239603
48,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,9,0.8025556982745484,9949370.000000002,0.900469,6992.673907996189,78060700000.0,572.6169814354861
49,2144.25,227.906,561.8386,0.2459,0.0346,0.7443,0.6571,46.05,104.0,0.6933,1.0,10,0.8048560219004491,9866730.000000004,0.904857,7080.116715467019,78537199999.99998,576.2842838061097
50,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,1,0.504003526675989,395063.7,0.772951,61495.17153815954,37258599999.99999,212.36733335752638
51,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,2,0.5544346048959528,680681.2999999999,0.930253,37695.12986473993,43050660000.00001,245.95869753276318
52,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,3,0.5834968139213839,722880.0000000001,0.971845,36941.09672421424,44476899999.999985,254.7976474210968
53,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,4,0.5929110401249971,738123.9999999998,0.986285,36878.54615213705,45281000000.00001,260.11177438995975
54,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,5,0.6030538996086213,722670.0000000001,0.993638,38452.820789572026,45786800000.0,263.7432316725551
55,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,6,0.6049022981908511,719608.0000000002,0.996094,38930.77897966668,46132200000.000015,266.4641009365678
56,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,7,0.6097005994211766,703265.0000000003,0.997687,40293.914811628594,46369899999.99997,268.5796924434604
57,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,8,0.6139486912436061,684037.9999999995,0.998624,41894.309965235865,46612800000.00005,270.73248205497816
58,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,9,0.6188657724286233,663761.9999999998,0.99914,43659.17301683441,46786199999.999954,272.4862469776301
59,1681.25,175.3,434.0665,0.0657,0.0176,0.4573,0.7821,55.2,351.0,0.5367,1.0,10,0.6219876960476473,646824.0000000005,0.999381,45169.62883257263,46944200000.00002,274.1520189791219
60,2063.5,131.887,170.7301,0.2237,0.0417,0.5825,0.7797,48.384,214.0,0.7631,1.0,1,0.4570173605530878,1017317.0,0.652829,7876.698216976616,11446356000.000002,53.17762164419128
61,2063.5,131.887,170.7301,0.2237,0.0417,0.5825,0.7797,48.384,214.0,0.7631,1.0,2,0.5589205000348106,1237398.0,0.854338,7487.672519270275,14162370000.0,65.82151267847834
62,2063.5,131.887,170.7301,0.2237,0.0417,0.5825,0.7797,48.384,214.0,0.7631,1.0,3,0.616714888024535,1215173.0,0.919552,8251.170820944835,14950149999.999998,69.51314812850535
