,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt,injt
0,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,1,0.3796974168982343,636247.1000000001,0.260583,2725.466253598641,1190077000.0,36.62092966275728
1,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,2,0.5881483856867519,803031.8999999999,0.701271,2174.0257142960327,2081595999.9999998,26.688287975477554
2,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,3,0.6885787813031413,826170.0000000001,0.86975,2422.001525109844,2527462000.0,32.123790474085745
3,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,4,0.7405398903180118,841498.9999999998,0.930587,2692.133918162708,2846812000.0,36.530875874008515
4,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,5,0.7656936453572232,855082.0000000003,0.960639,2927.3976063114396,3140470000.0000005,40.61265812383189
5,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,6,0.7796764988965236,849123.0,0.974266,3168.669321170196,3362099999.999998,43.80029779565892
6,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,7,0.7957573530648505,841702.9999999995,0.982756,3427.1233439823804,3562490000.0000005,47.09312738674088
7,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,8,0.8128155772228879,834070.0000000006,0.987562,3673.6844629347643,3722860000.000001,49.68783338595362
8,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,9,0.8062557527706121,824099.9999999994,0.990932,3827.1690328843624,3876400000.0000005,51.72951329247733
9,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,2.0,10,0.8305496585561841,816054.0000000001,0.992855,4069.3508027655002,3969760000.000001,53.843811091657614
10,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,1,0.40039427675284084,4775210.0,0.304016,7085.656965871658,25691010000.0,300.2831848895011
11,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,2,0.5963121043506924,7545590.0,0.670477,4973.868179956769,42198570000.0,219.72391847034714
12,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,3,0.7091254359728222,8484229.999999998,0.818841,4862.943366693266,47641800000.0,247.35691944472705
13,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,4,0.7623387673592651,9052110.000000002,0.887509,4873.349970338405,51357300000.00001,268.0591964125638
14,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,5,0.7998438320566162,9292249.999999996,0.924007,5030.934380801209,54005700000.000015,285.2298726367641
15,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,6,0.8233153720005859,9450400.000000002,0.944323,5168.892322018113,56027599999.99995,298.43353370408613
16,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,7,0.8357294371299652,9601019.999999998,0.957705,5227.225857252668,57511500000.000015,308.78888557514017
17,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,8,0.8546612327470428,9716200.000000007,0.966325,5327.514872069321,58526200000.000015,318.1196193994392
18,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,9,0.8658705169199994,9779219.999999994,0.972807,5405.339076122639,59388300000.000015,325.40655163465044
19,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,2.0,10,0.8779882816749477,9871260.000000007,0.976667,5453.427424665136,59882499999.99994,330.4652464120091
20,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,1,0.5570982260060235,25902370.0,0.505111,1471.7471798912609,34564300000.0,468.79438627357143
21,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,2,0.7455923338797605,31238500.0,0.848235,1215.6185476255262,43201840000.0,216.68301300240375
22,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,3,0.8267710810157362,31340070.000000004,0.931263,1352.5579234507134,47746650000.0,242.08582796552747
23,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,4,0.8661763371135097,31074060.000000004,0.960513,1498.555386711617,51637800000.0,258.3386713915375
24,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,5,0.888087114709124,30773599.99999999,0.974417,1631.1741232744957,55076699999.999985,272.4107390175528
25,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,6,0.9003591103246953,30502499.999999996,0.982028,1746.2830915498737,58097600000.0,285.456050943856
26,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,7,0.9064256313009311,30330500.0,0.986759,1839.300374210778,60731100000.00002,297.7008414345537
27,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,8,0.915946271141624,30165500.000000007,0.989798,1935.1941787803926,63082899999.99999,309.44226950758326
28,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,9,0.9237249660235543,29997899.99999999,0.992014,2025.26843545715,65245200000.00001,319.8487304890912
29,3470.75,244.291,904.2958,0.1627,0.0381,0.4557,0.6279,35.97,92.0,1.0,2.0,10,0.9252016854633193,29858200.00000001,0.993601,2098.632871372018,67293899999.999954,329.54087397898536
30,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,1,0.5446587230548143,3267350.0,0.565506,2293.4879948582184,7780453000.000001,89.16650326748626
31,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,2,0.6407681907489312,3931258.0,0.895399,2359.125755674137,12959799999.999998,71.54793690071853
32,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,3,0.687270628370122,4038152.0,0.962937,2794.515907276398,15811000000.000004,89.47292257293213
33,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,4,0.7100847294956072,4004339.999999999,0.983587,3239.6499797719484,17969319999.999996,103.07225879398882
34,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,5,0.7162602213537755,3954560.000000001,0.991516,3578.6509750768723,19590540000.000004,113.07999072988555
35,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,6,0.733455724514588,3919290.0,0.995097,3899.650191743914,20735979999.999996,120.70233221108636
36,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,7,0.714138427982932,3816589.999999998,0.997278,4070.431982476505,21694509999.999992,126.07738097638547
37,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,8,0.7448286342655339,3811940.0000000033,0.998278,4367.29854090043,22312799999.999996,131.8370357115796
38,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,123.0,1.0,2.0,9,0.758550559664173,3744159.999999997,0.998787,4660.511302935777,22976100000.000004,135.04835356083206
