,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time
4424,0.48332832682487237,0.5319915890657855,0.4841070891406798,0.15434291249596385,0.3933333333333334,0.29506008010680895,0.8354177088544272,0.8356356356356358,0.0,0.0,1.0,0.5555555555555556
4128,0.7132271953539602,0.4683088014418745,0.8940138373608744,0.4462382951243139,0.5900000000000001,0.6239986648865155,0.25162581290645303,0.7175175175175177,0.3,0.0,0.6666666666666666,0.6666666666666665
1894,0.6701712225893661,0.36877941323720836,0.38754637521307533,0.4911204391346464,0.6366666666666667,0.28037383177570097,0.9669834917458728,0.6352352352352353,0.9583333333333334,0.0,0.6666666666666666,0.2222222222222222
898,0.871933513567638,0.7739060779012716,0.6271934222400481,0.7607361963190183,0.4566666666666668,0.8491321762349799,0.1470735367683842,0.2593593593593593,0.2888888888888889,0.0,0.3333333333333333,0.0
503,0.30419545409031745,0.4487834184439772,0.5509876667000903,0.5892799483371004,0.9533333333333334,0.9188918558077437,0.9274637318659327,0.07617617617617634,0.9444444444444445,0.0,0.0,0.7777777777777777
1838,0.18053469510363473,0.592770601782317,0.9573849393362077,0.6577332902809171,0.3966666666666667,0.22046061415220286,0.8949474737368686,0.31191191191191203,0.28055555555555556,0.0,0.6666666666666666,0.1111111111111111
3351,0.2941824371683188,0.4674076299188946,0.058558106888599214,0.8111075234097513,0.5700000000000001,0.6970961281708945,0.6133066533266631,0.5606606606606608,0.9888888888888889,0.0,0.0,0.5555555555555556
122,0.45008511064383705,0.3773906077901272,0.9901734683645843,0.9186309331611237,0.040000000000000036,0.4868157543391187,0.6343171585792895,0.256856856856857,0.38333333333333336,0.0,0.6666666666666666,0.3333333333333333
4289,0.8523080004005208,0.7650946230099128,0.7285671312543868,0.13109460768485634,0.8166666666666669,0.012683578104138782,0.6173086543271635,0.0940940940940942,0.0,0.0,1.0,0.5555555555555556
341,0.16471412836687693,0.6103935115650345,0.04221397773989772,0.6002583144979012,0.8,0.1632176234979973,0.026013006503251557,0.11021021021021027,0.5944444444444444,0.0,0.6666666666666666,0.2222222222222222
1371,0.15930709922899766,0.2766596575548213,0.41431866038303417,0.40878269292864067,0.74,0.35564085447263016,0.5057528764382186,0.5159159159159159,0.8194444444444445,0.0,0.6666666666666666,0.4444444444444445
1189,0.700410533693802,0.3735856613597677,0.3903539556803369,0.5760413303196642,0.31000000000000005,0.03204272363150862,0.0,0.13543543543543546,0.3388888888888889,0.0,0.0,0.6666666666666665
740,0.4603985180734955,0.14458796435365975,0.7915371503058257,0.9648046496609622,0.8066666666666666,0.7313084112149533,0.05802901450725395,0.7885885885885888,0.5416666666666667,0.0,0.0,0.5555555555555556
967,0.1495944728146591,0.5694402723540603,0.7114208362578963,0.23732644494672264,0.8766666666666669,0.3845126835781041,0.3101550775387696,0.20790790790790803,0.8083333333333333,0.0,0.0,0.3333333333333333
644,0.012015620306398356,0.742665465104636,0.748521006718139,0.7061672586373909,0.30333333333333334,0.38551401869158863,0.4227113556778388,0.13653653653653652,0.0,0.0,1.0,1.0
1546,0.3026935015520177,0.08871532992890757,0.6421337611551188,0.7423312883435583,0.9866666666666668,0.7059412550066757,0.7458729364682339,0.6987987987987989,0.0,0.0,1.0,0.2222222222222222
377,0.8442975868629219,0.5820566736757785,0.2461646445402587,0.6344849854698095,0.44333333333333336,0.039052069425901115,0.020010005002501163,0.387787787787788,0.8277777777777778,0.0,0.6666666666666666,1.0
726,0.6841894462801643,0.407329528386903,0.9273037200441191,0.800452050371327,0.4033333333333333,0.0,0.3946973486743368,0.38658658658658673,0.7305555555555556,0.0,0.3333333333333333,0.2222222222222222
3384,0.19635526184039254,0.5757484730149194,0.00491326581770781,0.7659024862770423,0.00666666666666671,0.7521695594125499,0.5272636318159081,0.4205205205205207,0.0,0.0,1.0,0.4444444444444445
3063,0.34054270551717236,0.8712326023830981,0.8060764062970018,0.6796900226025185,0.8633333333333333,0.4290720961281709,0.9959979989994996,0.7412412412412412,0.8666666666666667,0.0,0.0,0.6666666666666665
4108,0.8191649143887054,0.3422449183939121,0.9098566128547078,0.9363900548918308,0.6633333333333333,0.7469959946595461,0.5862931465732864,0.9969969969969974,0.8250000000000001,0.0,0.0,0.2222222222222222
269,0.806348252728547,0.09532392109742666,0.06206758247267623,0.490151759767517,0.6000000000000001,0.6303404539385848,0.7173586793396693,0.174774774774775,0.2638888888888889,0.0,0.0,0.0
3027,0.048362871733253265,0.9492340042054671,0.6475483806276947,0.6632224733613173,0.7033333333333334,0.6388518024032044,0.3016508254127066,0.21981981981982002,0.0,0.0,1.0,0.7777777777777777
2620,0.749674576950035,0.20686892960849101,0.16454426952772483,0.9845011301259284,0.27,0.013017356475300335,0.7188594297148576,0.05995995995996006,0.7916666666666667,0.0,0.3333333333333333,0.7777777777777777
1679,0.10673876038850505,0.05887653950135175,0.5127845181991377,0.5611882466903455,0.2566666666666668,0.07459946595460609,0.861930965482741,0.8781781781781786,0.0,0.0,1.0,1.0
668,0.3279263041954541,0.09452287974366677,0.3039205855810689,0.05263157894736842,0.43000000000000016,0.8741655540720963,0.7173586793396693,0.04054054054054057,0.2916666666666667,0.0,0.6666666666666666,0.6666666666666665
1562,0.06558526083909083,0.9200961249624512,0.8644339717236539,0.3603487245721666,0.8400000000000001,0.559913217623498,0.838419209604802,0.6388388388388391,0.0,0.0,1.0,0.7777777777777777
2676,0.7693000901171523,0.22479222989886855,0.8147999598917075,0.3048111075234098,0.32000000000000006,0.8988651535380507,0.23211605802901447,0.4781781781781784,0.7944444444444445,0.0,0.3333333333333333,0.7777777777777777
3587,0.7693000901171523,0.22479222989886855,0.8147999598917075,0.3048111075234098,0.32000000000000006,0.8988651535380507,0.23211605802901447,0.4781781781781784,0.7944444444444445,0.0,0.6666666666666666,0.7777777777777777
3137,0.5948733353359368,0.7194352658455992,0.37140278752632105,0.25928317726832417,0.76,0.7953938584779707,0.043521760880440574,0.40320320320320313,0.6277777777777778,0.0,0.3333333333333333,0.6666666666666665
2544,0.7300490637829178,0.9732652448182637,0.09094555299308131,0.40555376170487567,0.7300000000000002,0.2149532710280374,0.8074037018509252,0.4496496496496498,0.0,0.0,1.0,0.0
