,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,Sw,time,efft,watt,ymft,gwrt,capt
0,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,1.0,0.4235083719362081,216823.7,0.667479,21167.39083412007,7233520000.0
1,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,2.0,0.5328612306343695,176333.99999999997,0.822377,28766.630371907864,7828559999.999999
2,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,3.0,0.5911739274581689,154933.99999999997,0.88609,34320.82693275847,7970160000.000002
3,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,4.0,0.6260248655145,139962.60000000006,0.921741,39185.46811791147,8075219999.999998
4,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,5.0,0.6469419071268464,128713.3,0.939235,43569.77872527547,8141749999.999998
5,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,6.0,0.663097182798345,118357.99999999994,0.954331,48192.77108433737,8209209999.999999
6,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,7.0,0.6741978355853921,110739.40000000005,0.963745,52206.9832417369,8264290000.000003
7,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,8.0,0.6819140639728242,103798.0,0.970574,56272.66421318328,8313530000.000008
8,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,9.0,0.6876672219728692,98306.00000000004,0.976539,59848.33072243811,8354939999.999999
9,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,0.4549,10.0,0.6920249583151683,94591.99999999987,0.979766,62514.37753721251,8372109999.999992
10,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,1.0,0.5671744041318163,12772080.0,0.747378,2427.8292964027783,40860480000.0
11,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,2.0,0.6346679788725089,11003440.0,0.900759,3721.737929229405,58121430000.0
12,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,3.0,0.6791584165392555,9986100.0,0.959683,4662.445799661528,65790989999.99999
13,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,4.0,0.6936149965260054,9299779.999999998,0.979472,5385.546754869471,70725500000.00002
14,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,5.0,0.6980087153667061,8695430.000000002,0.986274,6037.3552544267495,74177900000.00002
15,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,0.8967,6.0,0.7068366094043724,8165410.000000001,0.990122,6692.597187403937,76549499999.99997
