,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt
0,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,1,0.48643667203313895,804770.9,0.505731,1655.2772969300954,1384957000.0
1,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,2,0.6282453389188425,878504.1000000001,0.838437,1902.2927724526267,2230295000.0
2,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,3,0.7094311446394792,886683.0,0.921944,2244.6500045675853,2586493000.0
3,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,4,0.7423213524485405,887695.9999999999,0.955739,2545.3297074674215,2909079999.9999995
4,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,5,0.7717184600884134,885888.9999999997,0.972274,2841.516262195378,3171460000.0000014
5,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,6,0.7861557360639408,871438.0000000001,0.981896,3135.9075459183555,3413159999.9999995
6,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,7,0.7913911977492857,865694.0000000005,0.98723,3330.8767301147955,3597079999.999998
7,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,8,0.810604215958242,854973.0,0.990513,3574.0076002400083,3733869999.9999995
8,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,9,0.8140331851679465,843290.0,0.99255,3761.1497823998857,3867300000.0
9,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,1.0,10,0.8284729939250418,832714.0,0.994011,3977.271908482385,3973690000.0000014
10,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,1.0,1,0.41791601494924635,7555328.0,0.374254,4310.587177684411,29165349999.999996
