,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt,injt
0,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,1,0.45155801606225887,3893006.0,0.460469,11684.883095479432,46387000000.0,215.84023976789643
1,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,2,0.5753512613384726,4441873.000000001,0.685216,10306.105104760984,54519909999.99999,253.79386584192775
2,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,3,0.6600588563665498,4250230.999999999,0.774656,11309.54294013667,56413600000.000015,262.8329846643701
3,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,4,0.7051298254879429,4099640.000000001,0.822815,12042.39884477661,57609199999.999985,268.61099636616643
4,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,5,0.7438885103319463,3921589.999999998,0.856623,12946.330442499091,58464299999.99998,272.8055341045397
5,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,6,0.7655113103722371,3805920.0000000005,0.877701,13550.205994871154,59129000000.00002,276.1033072415328
6,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,7,0.781563475563689,3712170.0000000005,0.891934,14059.835621752234,59562999999.999985,278.322188832253
7,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,8,0.7991017944592418,3598649.999999999,0.905519,14712.378252955976,59995400000.000015,280.53176341506423
8,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,9,0.8171884261670347,3495270.0000000014,0.919051,15400.326727262825,60538000000.00001,283.2523248445825
9,2919.75,95.144,856.6435,0.3009,0.0418,0.4953,0.6871,46.536,136.0,0.6617,0.0,10,0.8222336114392139,3443649.999999998,0.92513,15688.702394261918,60787399999.99993,284.5903003763045
10,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,1,0.49812891419983935,10413030.0,0.568457,10317.390807478707,122603500000.0,492.53093649538687
11,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,2,0.5865508617250678,12494480.0,0.872661,8938.47523066186,166158100000.00003,668.7372368008639
12,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,3,0.6229957360995314,12341330.000000004,0.948813,9463.542422089029,177873500000.00003,718.1050832369002
13,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,4,0.6413000144917412,11955070.0,0.977489,10133.19871820073,184649999999.99997,747.9356214855363
14,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,5,0.6481169369828138,11581840.0,0.988056,10712.650148853723,189148399999.99994,768.7635172476429
15,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,6,0.653485121541911,11190030.0,0.992055,11309.1385813979,192114800000.00006,783.5320198749062
16,2436.0,234.228,954.3457,0.2883,0.0245,0.4919,0.7754,56.919,269.0,0.8245,0.0,7,0.6575715961776706,10810940.000000002,0.994518,11917.317088060794,194855000000.00003,797.509434757251
