,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt
0,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,1,0.4281233528790364,844328.1,0.393788,1791.8081845197385,1391542000.0
1,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,2,0.617316104845839,902480.9,0.805086,1963.4775650099627,2310993000.0
2,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,3,0.7077154064755052,892774.0000000001,0.906471,2337.82345812042,2673305000.0
3,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,4,0.7356896861309621,898047.0,0.948161,2568.6550926621876,2972982000.0
4,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,5,0.7678773001261715,894881.9999999997,0.968112,2845.0723112097476,3209910000.0000005
5,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,6,0.7820807725582815,882597.0000000007,0.97824,3099.1494419310266,3421359999.999998
6,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,7,0.7918411391256697,875937.9999999992,0.985127,3315.6912932193854,3613279999.9999995
7,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,8,0.8047877878272762,870014.0000000001,0.98923,3498.656343461139,3741480000.000003
8,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,9,0.8009714007804437,846750.0,0.991973,3704.670800118098,3884969999.999999
9,1180.25,31.344,537.2632,0.2591,0.022,0.8741,0.7129,52.77,188.0,1.0,0.0,10,0.8273883201675508,840564.0000000003,0.99354,3916.7630305366392,3953430000.000001
10,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,0.0,1,0.31140003886779133,8138985.999999999,0.245262,4668.1552222844475,29924520000.0
11,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,0.0,2,0.6087072784004467,9776514.000000002,0.707195,4227.966123712397,48022660000.0
12,2530.5,159.147,774.5257,0.1606,0.0394,0.5207,0.7321,58.731,359.0,1.0,0.0,3,0.7205906088898779,10091880.0,0.843837,4373.306063885026,51683499999.99999
