,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time,efft,watt,ymft,gwrt,capt
0,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,1,0.6513103604399403,16169149.999999998,1.0,52.66912608269452,1307541000.0
1,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,2,0.8441957191480597,15441110.000000002,1.0,78.57913064540047,1437284000.0
2,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,3,0.8989604851790673,15187369.999999998,1.0,87.50738277924357,1478382000.0000002
3,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,4,0.9290662104797982,15075930.0,1.0,93.01323367778969,1509322999.9999993
4,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,5,0.9457643918332364,14952050.0,1.0,97.12781859343701,1535541000.0000002
5,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,6,0.9562239143798718,14824720.0,1.0,100.62355309240243,1560006999.9999998
6,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,7,0.9671236234130629,14675669.999999996,1.0,104.32477699484929,1583082000.000001
7,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,8,0.9703885281587799,14586100.000000002,1.0,106.66017646937841,1603230000.0
8,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,9,0.9784146551512029,14456100.000000006,1.0,110.02621730618905,1625639999.9999988
9,1228.75,248.641,869.9302,0.2119,0.0171,0.5886,0.6008,37.416,0.0,1.0,3.0,10,0.9835096036955985,14285400.00000001,1.0,113.26739188262131,1645200000.000001
10,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,1,0.7662524377645126,3390763.0,1.0,2010.6766530129057,8897496000.0
11,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,2,0.7544079722143787,3215240.0,1.0,2873.419091576368,12246334000.0
12,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,3,0.773510676274566,3034992.0,1.0,3805.318102980172,14930769999.999996
13,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,4,0.7793187967774903,2931564.999999999,1.0,4518.3511196238205,16996690000.000002
14,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,5,0.7867682804463049,2824410.0000000005,1.0,5191.409887374707,18636580000.000004
15,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,6,0.796959317137756,2732749.9999999995,1.0,5815.039795078219,19939600000.0
16,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,7,0.7983458018723519,2653370.0000000023,1.0,6319.540810365679,21003529999.999996
17,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,8,0.8112047693582548,2592209.999999998,1.0,6797.670713406716,21721999999.999992
18,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,9,0.8112652337691111,2501410.0,1.0,7318.352449218636,22564999999.999996
19,3431.25,127.16,192.7081,0.1679,0.0251,0.4259,0.7858,32.181,0.0,1.0,3.0,10,0.8146320151571509,2434840.0000000014,1.0,7734.594470273195,23117800000.000015
20,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,1,0.6850139511126282,1801076.0,1.0,318.6933810677617,837926000.0
21,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,2,0.7211502469384107,1700771.0000000002,1.0,607.1605172007282,1431935999.9999998
22,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,3,0.7106531326309325,1696305.9999999995,1.0,821.6194483778283,1961179000.0000005
23,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,4,0.7212897180074573,1640639.0000000002,1.0,1076.2410256003907,2448007999.9999995
24,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,5,0.7355759273901695,1613710.0000000012,1.0,1280.9699388365932,2810198000.0000005
25,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,6,0.7466816275371385,1590137.9999999995,1.0,1480.1903985691818,3152222999.9999995
26,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,7,0.7604714225509712,1581550.0,1.0,1654.3997976668452,3440650000.0
27,1036.25,82.384,264.6361,0.1538,0.0234,0.9054,0.7156,35.238,0.0,1.0,3.0,8,0.766148263348886,1565299.9999999988,1.0,1793.9117102152964,3665099999.999999
