perm1__real0,perm1__real1,perm1__real2,perm1__real3,perm1__real4
0.216063,-0.00944455,-0.471315,-1.67243,0.492943
0.201076,0.0926291,-0.19015,-1.48785,0.482143
-0.0786613,0.0350523,-0.149072,-1.59623,0.610971
-0.233498,-0.231603,-0.127628,-1.3229,0.546384
-0.0505097,-0.151137,0.0866858,-1.46322,0.315453
0.370212,-0.23313,-0.0116328,-0.986329,0.264686
0.152852,0.0321233,-0.371095,-1.09252,-0.0738877
0.315649,-0.0632375,-0.0782434,-0.955037,0.0798768
0.0506884,0.121034,0.00935574,-1.08361,-0.0534382
-0.0968094,0.10089,0.0512313,-0.618843,0.146584
0.0590132,0.131065,-0.0280012,-0.875321,0.0971782
-0.196778,0.397482,0.395236,-0.808108,0.150102
0.150494,0.435412,0.444092,-0.289106,0.308132
-0.0186538,0.169924,0.443971,-0.641467,0.585641
0.272086,0.469612,0.342626,-0.629373,0.498858
0.271936,0.503508,0.376785,-0.611703,0.531036
0.202459,0.595332,0.637759,-0.560847,0.367325
0.309652,0.721463,0.943683,-0.401253,0.158167
0.325382,0.883184,0.991042,-0.521296,-0.0355436
0.391812,0.665732,1.09241,-0.617921,-0.134333
0.341479,0.343672,0.778815,-0.870925,-0.418115
0.307659,0.340569,0.731446,-0.826814,-0.359793
0.340255,0.302985,0.44967,-0.255953,-0.278677
0.32804,0.162303,0.249546,-0.0134122,-0.195371
0.316009,0.141232,0.118007,0.0820654,-0.399732
0.372231,0.386833,0.290442,0.249677,-0.453437
0.697495,0.291557,0.448317,-0.118805,-0.439918
0.527271,0.10407,0.345886,-0.234602,-0.315424
0.856476,0.226187,0.626104,-0.164572,-0.295869
0.606505,0.231535,0.366375,-0.232903,-0.527679
0.57034,0.436533,0.503557,-0.211494,-0.541965
0.755325,0.222729,0.553023,0.0319187,-0.782096
0.857401,-0.000815748,0.374349,-0.166775,-0.641692
0.908802,0.078445,0.000482384,0.00981943,-0.675934
0.891217,-0.311505,0.146426,0.0517963,-0.729179
0.530781,-0.241077,-0.0746365,0.0012389,-0.775332
0.744556,-0.287761,-0.101263,-0.184419,-0.832958
0.626963,-0.688442,-0.107421,-0.354898,-0.695028
0.685252,-0.439323,-0.122232,0.144004,-0.826135
0.805264,-0.657637,-0.166499,0.0279322,-0.724108
0.676914,-0.391712,-0.466383,0.176983,-0.730688
0.549196,-0.295293,-0.178307,0.00321387,-0.6008
0.43633,-0.44173,-0.326333,0.156014,-0.522247
0.129747,-0.132415,-0.195907,0.242783,-0.0539227
0.243678,-0.269426,-0.297608,0.0894875,-0.00346778
0.189717,-0.0194979,-0.345834,-0.0648474,-0.182032
0.377055,-0.117543,-0.227304,-0.165327,0.20416
0.0816853,-0.0598596,-0.291419,-0.0874019,0.235448
0.32572,0.201572,-0.192864,0.210506,-0.0588311
0.387056,-0.0165788,-0.0788963,0.315232,-0.241189
0.0746371,0.31216,0.188816,0.0801985,-0.12936
0.401219,0.376628,-0.0925553,0.0110412,-0.0851032
0.164157,0.19913,-0.0456525,0.15114,-0.27738
0.370486,0.366263,-0.00748045,0.0932805,-0.0303788
0.3664,0.521207,0.031494,-0.0123816,-0.211039
0.357462,0.34332,0.0838306,-0.0895443,-0.266907
0.206326,0.423145,0.313098,-0.145883,-0.158241
0.264896,0.135183,0.260856,-0.131025,-0.196958
0.475481,0.308558,0.407289,0.0659477,-0.168144
0.382399,-0.0333203,0.255338,-0.0700866,-0.45372
0.223102,-0.258505,0.371369,0.0151909,-0.182166
0.334795,-0.086009,0.231006,-0.0230609,-0.404238
0.394004,-0.0474594,0.248366,0.0179954,-0.399459
0.704172,-0.0835187,-0.0406057,-0.17126,-0.126174
0.437585,-0.260919,0.127707,-0.394041,-0.196042
0.465925,-0.19354,0.075912,-0.506734,-0.472138
0.357256,-0.367672,-0.181377,-0.249911,-0.194482
0.193586,-0.795568,-0.367122,-0.261831,-0.191622
0.0949571,-0.892644,-0.397854,-0.00743072,-0.370022
0.00662708,-1.06678,-0.546265,0.247926,-0.423974
-0.102126,-0.877704,-0.890431,0.0306989,0.0390437
-0.276868,-1.15702,-0.758792,0.0400602,0.114461
-0.442692,-1.28031,-0.953766,-0.141748,0.106619
-0.412796,-0.922402,-0.891373,-0.411853,0.0443301
-0.401528,-0.786156,-0.669248,-0.240073,-0.0277782
-0.392825,-0.919318,-0.933035,-0.351625,-0.0341485
-0.188045,-0.813976,-0.977212,-0.164524,-0.282591
