perm1__real0,perm1__real1,perm1__real2
0.331836,0.9205,0.67108
0.416192,1.08758,0.560219
0.549159,1.24014,0.793722
0.349237,1.15852,0.489801
0.470193,0.891011,0.71704
0.425892,0.848774,0.939907
0.16882,0.803651,0.567818
-0.0981931,0.733123,0.472791
-0.447571,0.936813,0.504762
-0.191192,0.847959,0.517372
-0.218623,0.693054,0.320826
-0.312682,0.750164,0.206511
-0.304772,0.600192,-0.0532114
-0.518041,0.555989,-0.0720887
-0.170932,0.155746,-0.15921
0.230405,0.223965,0.0654377
0.171068,0.143488,-0.221921
0.307546,-0.00681281,-0.323697
0.494512,-0.02038,-0.555926
0.392878,0.223355,-0.345809
0.2425,-0.213346,-0.322397
0.536318,0.140802,-0.399473
0.676947,-0.0454501,-0.316653
0.311152,0.0657034,-0.434908
0.30396,0.278845,-0.15913
0.530805,0.252169,-0.343903
0.127039,0.340921,0.0204292
0.278121,0.16541,-0.343143
0.230657,0.3246,-0.103659
0.695516,0.0917911,-0.304797
0.674588,-0.0841466,-0.117199
0.429424,0.316873,-0.526232
0.622204,-0.0445219,-0.516342
0.636098,0.128986,-0.423526
1.12214,0.265411,-0.518709
1.15788,0.554083,-0.6053
0.873601,0.290135,-0.665765
1.07213,0.283598,-0.870805
1.15791,0.388907,-0.186452
1.18774,0.234007,-0.208685
1.13765,-0.070453,-0.27608
1.28686,-0.423288,-0.0490959
1.00118,-0.218017,0.293441
1.35626,-0.411066,0.35756
1.24797,0.146378,0.310038
0.670206,0.27464,0.350224
0.40003,0.155688,0.187433
0.0162827,-0.000860682,0.206981
0.189353,-0.0417813,0.115958
0.297826,0.295754,0.202399
-0.207864,0.396241,0.258406
0.114012,0.372353,0.155436
0.127703,0.336835,0.426598
0.367854,0.173334,0.260696
0.232966,0.417839,0.512116
0.492659,0.549767,0.822221
0.226209,0.313471,0.564597
0.224855,0.365922,0.520712
-0.0235731,0.318912,0.619885
0.0320012,0.205516,0.675714
-0.140812,0.481978,0.475486
-0.0105318,0.266407,0.642093
-0.126921,0.394373,0.762035
0.0629712,0.0552255,0.715399
0.205204,0.147902,0.73941
0.193658,0.102931,0.771402
0.160436,-0.0830585,1.04612
0.309106,-0.186312,1.16032
0.358165,0.109877,0.913101
0.0927012,0.236456,0.900609
0.26453,0.0775111,0.724889
0.322429,0.172328,0.598102
-0.0511205,0.0822504,0.686337
-0.0737205,0.298139,0.646294
-0.178503,0.215594,0.792877
0.0438116,0.587341,0.432849
0.032537,0.597193,0.395239
0.284422,0.870578,0.389491
-0.0178994,0.992667,-0.0228504
0.153525,1.05217,0.0613143
0.303936,0.827846,0.0624621
0.518818,1.01409,-0.0498139
0.707236,1.16208,0.112058
0.649298,1.20867,0.177823
0.669455,0.913591,0.228095
0.742769,0.737525,0.505919
0.42362,0.768206,0.402532
0.322997,0.713271,0.345122
0.0443467,0.414372,0.645086
0.257855,0.38134,0.565415
0.448523,0.537613,0.391678
0.504842,0.410659,0.365525
0.374073,0.75305,0.529201
0.185128,0.444668,0.336291
0.161615,0.335716,0.449059
0.277753,0.276223,0.460089
0.229029,0.0588295,0.733021
0.367406,0.15346,0.503288
0.479475,-0.0354403,1.16546
0.460306,0.172631,0.918321
0.512697,-0.0898255,0.554232
0.625236,-0.152043,0.784699
0.529678,-0.58079,0.769897
0.278561,-0.716528,0.975138
-0.131482,-1.03925,0.934232
-0.0554373,-0.459263,0.738082
-0.14764,-0.681652,0.827941
-0.202417,-0.346945,1.05854
-0.319109,-0.812825,0.846296
-0.524112,-0.780548,0.570251
-0.205064,-0.827956,0.800608
-0.132343,-0.693468,0.622322
-0.0264352,-0.746063,0.566519
-0.409479,-0.632665,0.548082
-0.0899329,-0.727485,0.328214
-0.0842349,-0.274481,0.392901
0.310959,-0.148987,0.331371
0.0248082,-0.14932,0.624487
-0.00757297,-0.233073,0.377353
-0.0390625,-0.0461689,0.577699
0.0982727,-0.295621,0.489422
-0.219043,-0.309626,0.395251
-0.0515205,-0.488186,0.582627
0.011239,-0.327642,0.762738
0.062916,-0.367823,0.529105
-0.136647,-0.350678,0.687252
0.0492885,-0.471752,0.699621
0.375075,-0.48286,0.510281
0.392244,-0.18782,0.690369
0.522483,-0.179419,0.491495
0.459964,-0.0325815,0.781157
0.120013,-0.0389246,0.627604
0.0413045,-0.131296,0.646304
0.0985409,-0.289198,0.952802
0.0570796,-0.265235,0.793323
-0.323527,-0.101701,0.567784
-0.386626,-0.31857,0.688669
-0.114283,-0.226085,0.739937
-0.182674,-0.083044,1.03356
0.316805,-0.0498672,1.02727
0.0139075,-0.00212696,0.832442
0.248031,0.193999,0.821665
-0.000435031,0.306104,1.12103
0.0939486,0.354052,0.941776
0.11453,0.221444,0.834623
0.031435,0.196041,0.691235
0.0422358,0.0643935,0.779616
-0.21375,-0.0893185,0.771069
-0.196373,-0.0424588,0.449999
-0.160106,-0.224133,0.526885
-0.374298,-0.29947,0.356727
-0.459932,-0.259724,0.245573
-0.376654,0.030773,0.269239
-0.497312,-0.557334,0.182507
-0.0277005,-0.274314,-0.262061
-0.365557,-0.42926,-0.11172
-0.382748,-0.491068,-0.381001
-0.379439,-0.230326,-0.462759
-0.557489,0.0625217,-0.453082
-0.557651,-0.0740858,-0.566543
-0.650659,0.168088,-0.496632
-0.418365,0.0177286,-0.541097
-0.382465,-0.108345,-0.590844
-0.923334,-0.218415,-0.505342
-0.802822,-0.24431,-0.0605263
-1.29443,-0.222992,-0.0284477
-1.23607,-0.197369,-0.174379
-1.23935,-0.212197,-0.340187
-1.10922,-0.386241,-0.290819
-1.01001,-0.3898,-0.35384
-1.18875,-0.50136,-0.439797
-1.11362,-0.701053,-0.359292
-1.00918,-0.670998,-0.169419
-0.8554,-0.70466,0.149937
-0.626195,-0.765055,0.0898202
-0.171581,-0.940212,0.274573
-0.268512,-1.14151,0.0615934
-0.561458,-0.8326,0.423926
